PRES,PRES_QC,TEMP,PSAL,FLU2,CNDC,DENS,SVEL,CCOMD003,DOX1-1,DOX2-1,CNDC-2,OXYOCPVL-1,SPAR,PAR,PSAL-2,TEMP-2,ATTNZS01,TEMP_QC,PSAL_QC,FLU2_QC,CNDC_QC,DENS_QC,SVEL_QC,CCOMD003_QC,DOX1-1_QC,DOX2-1_QC,CNDC-2_QC,OXYOCPVL-1_QC,SPAR_QC,PAR_QC,PSAL-2_QC,TEMP-2_QC,ATTNZS01_QC
166.0,1.0,2.013,34.938,0.03,30.815,27.908,1460.75,1.39,7.806,339.162,3.08,2.288,526.63,0.051,34.915,2.013,93.175,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,1.0,2.01,34.938,0.03,30.813,27.908,1460.76,0.92,7.809,339.282,3.08,2.288,524.73,0.051,34.915,2.011,93.149,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,1.0,2.009,34.938,0.0,30.813,27.908,1460.77,0.62,7.812,339.401,3.079,2.288,524.74,0.051,34.915,2.01,93.139,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.0,1.0,2.007,34.938,0.0,30.811,27.908,1460.78,1.087,7.819,339.721,3.079,2.288,523.26,0.051,34.915,2.008,93.139,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.0,1.0,2.002,34.938,0.025,30.808,27.909,1460.77,1.552,7.824,339.954,3.079,2.288,520.99,0.051,34.914,2.003,93.15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,1.0,1.998,34.938,0.042,30.804,27.909,1460.77,1.133,7.816,339.571,3.079,2.288,518.7,0.051,34.915,1.999,93.117,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.0,1.0,1.994,34.938,0.031,30.801,27.909,1460.77,1.362,7.809,339.281,3.078,2.286,518.71,0.051,34.915,1.994,93.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173.0,1.0,1.99,34.938,0.03,30.798,27.909,1460.76,1.173,7.796,338.735,3.078,2.285,518.11,0.051,34.915,1.99,93.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,1.0,1.986,34.938,0.0,30.795,27.91,1460.76,0.952,7.8,338.907,3.078,2.284,515.35,0.051,34.914,1.986,93.122,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175.0,1.0,1.979,34.937,0.0,30.789,27.91,1460.75,1.454,7.804,339.074,3.077,2.283,512.68,0.051,34.914,1.98,93.116,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,1.0,1.974,34.937,0.027,30.784,27.91,1460.74,1.092,7.803,339.023,3.077,2.283,511.34,0.051,34.914,1.974,93.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.0,1.0,1.971,34.937,0.027,30.782,27.91,1460.74,1.115,7.808,339.231,3.076,2.282,510.67,0.051,34.914,1.971,93.142,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,1.0,1.968,34.937,0.025,30.78,27.91,1460.75,1.386,7.807,339.188,3.076,2.282,509.62,0.051,34.914,1.969,93.134,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.0,1.0,1.966,34.937,0.03,30.779,27.91,1460.76,0.958,7.798,338.805,3.076,2.281,507.37,0.051,34.914,1.966,93.154,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,1.0,1.962,34.936,0.026,30.775,27.91,1460.75,1.353,7.797,338.747,3.076,2.28,505.97,0.051,34.913,1.962,93.15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,1.0,1.957,34.936,0.029,30.771,27.911,1460.75,0.905,7.798,338.797,3.075,2.28,504.66,0.051,34.913,1.957,93.163,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,1.0,1.945,34.936,0.033,30.761,27.911,1460.71,0.967,7.794,338.625,3.074,2.278,504.64,0.051,34.912,1.944,93.154,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.0,1.0,1.933,34.935,0.028,30.75,27.912,1460.68,1.294,7.787,338.315,3.073,2.277,503.03,0.051,34.912,1.933,93.158,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,1.0,1.924,34.934,0.029,30.743,27.912,1460.65,1.111,7.79,338.435,3.072,2.276,502.64,0.051,34.911,1.924,93.156,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.0,1.0,1.919,34.934,0.025,30.739,27.912,1460.65,1.234,7.778,337.924,3.072,2.274,502.63,0.051,34.911,1.919,93.153,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.0,1.0,1.916,34.934,0.024,30.736,27.912,1460.65,1.267,7.772,337.669,3.072,2.272,502.63,0.051,34.911,1.916,93.15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.0,1.0,1.907,34.934,0.033,30.728,27.913,1460.63,1.179,7.776,337.839,3.071,2.272,502.63,0.051,34.911,1.907,93.166,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,1.0,1.9,34.933,0.03,30.722,27.913,1460.61,1.377,7.786,338.275,3.07,2.272,502.63,0.051,34.91,1.9,93.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
